Sample,Time,Decoder,Ann Row,Ann Class,Value
1638733,68.281 ms,USB packet,Packets,Packet: NAK,NAK
1640121,68.338 ms,USB packet,Packets,Packet: IN,IN ADDR 61 EP 0
1640199,68.342 ms,USB packet,Packets,Packet: STALL,STALL
1648520,68.688 ms,USB packet,Packets,Packet: SETUP,SETUP ADDR 61 EP 0
1648598,68.692 ms,USB packet,Packets,Packet: DATA0,DATA0 [ 80 06 EE 03 09 04 FE 01 ]
1648806,68.700 ms,USB packet,Packets,Packet: ACK,ACK
1649108,68.713 ms,USB packet,Packets,Packet: IN,IN ADDR 61 EP 0
1649186,68.716 ms,USB packet,Packets,Packet: NAK,NAK
1650953,68.790 ms,USB packet,Packets,Packet: IN,IN ADDR 61 EP 0
1651031,68.793 ms,USB packet,Packets,Packet: STALL,STALL
1656612,69.026 ms,USB packet,Packets,Packet: SOF,SOF 408
1656689,69.029 ms,USB packet,Packets,Packet: PRE,PRE
1656729,69.030 ms,USB packet,Packets,Packet: IN,IN ADDR 10 EP 3
1680621,70.026 ms,USB packet,Packets,Packet: SOF,SOF 409
1704630,71.026 ms,USB packet,Packets,Packet: SOF,SOF 410
1728638,72.027 ms,USB packet,Packets,Packet: SOF,SOF 411
1752647,73.027 ms,USB packet,Packets,Packet: SOF,SOF 412
1776655,74.027 ms,USB packet,Packets,Packet: SOF,SOF 413
1800664,75.028 ms,USB packet,Packets,Packet: SOF,SOF 414
1824673,76.028 ms,USB packet,Packets,Packet: SOF,SOF 415
1848682,77.028 ms,USB packet,Packets,Packet: SOF,SOF 416
1848759,77.032 ms,USB packet,Packets,Packet: Invalid,Invalid packet (shorter than 8 bits)
1848765,77.032 ms,USB packet,Packets,Packet: Invalid,UNKNOWN
1896700,79.029 ms,USB packet,Packets,Packet: SOF,SOF 418
1920709,80.030 ms,USB packet,Packets,Packet: SOF,SOF 419
1944718,81.030 ms,USB packet,Packets,Packet: SOF,SOF 420
1968727,82.030 ms,USB packet,Packets,Packet: SOF,SOF 421
1992736,83.031 ms,USB packet,Packets,Packet: SOF,SOF 422
